timestamp,workspace_id,weekly_active_teams,feature_adoption_rate,activation_rate,seats_provisioned,seats_active,workspace_growth_rate
2025-05-07 09:00:00,ws_1000,1583,0.5217,0.3211,11072,8320,0.0192
2025-05-08 09:00:00,ws_1001,1576,0.5221,0.3135,10944,8154,0.019
2025-05-09 09:00:00,ws_1002,1647,0.5504,0.308,11188,8238,0.0232
2025-05-10 09:00:00,ws_1003,1589,0.5948,0.3247,11055,8190,0.0212
2025-05-11 09:00:00,ws_1004,1578,0.5379,0.3371,11261,8506,0.0204
2025-05-12 09:00:00,ws_1005,1658,0.529,0.3113,11194,8292,0.0225
2025-05-13 09:00:00,ws_1006,1671,0.5445,0.3533,11269,8617,0.0209
2025-05-14 09:00:00,ws_1007,1625,0.5547,0.3428,11285,8480,0.0193
2025-05-15 09:00:00,ws_1008,1643,0.5371,0.3358,11227,8602,0.0226
2025-05-16 09:00:00,ws_1009,1751,0.6011,0.3584,11189,8424,0.0218
2025-05-17 09:00:00,ws_1010,1643,0.5274,0.3473,11225,8494,0.023
2025-05-18 09:00:00,ws_1011,1665,0.5566,0.3479,11233,8456,0.0223
2025-05-19 09:00:00,ws_1012,1722,0.5248,0.3466,11297,8607,0.0224
2025-05-20 09:00:00,ws_1013,1715,0.5666,0.3302,11249,8722,0.0183
2025-05-21 09:00:00,ws_1014,1746,0.5795,0.3463,11397,8750,0.0234
2025-05-22 09:00:00,ws_1015,1728,0.5362,0.3307,11320,8718,0.0284
2025-05-23 09:00:00,ws_1016,1696,0.5489,0.3744,11306,8652,0.0225
2025-05-24 09:00:00,ws_1000,1716,0.5282,0.3707,11422,8820,0.0237
2025-05-25 09:00:00,ws_1001,1700,0.57,0.3763,11398,8747,0.025
2025-05-26 09:00:00,ws_1002,1744,0.5476,0.3831,11335,8696,0.0255
2025-05-27 09:00:00,ws_1003,1739,0.5321,0.3702,11313,8734,0.0239
2025-05-28 09:00:00,ws_1004,1690,0.5229,0.3468,11348,8563,0.0269
2025-05-29 09:00:00,ws_1005,1744,0.5388,0.3828,11410,8843,0.0225
